source,title,client_name,order_number,pacing_type,start_date,end_date,strategy,monthly,total,rate
mcp-Google_Drive-read_file_content-1790081135469.txt,JBM Tent Rentals,JBM Tent Rentals,,impression,2026-04-13,2026-09-30,D - R,10000.0,60000.0,2.5
mcp-Google_Drive-read_file_content-1790081135469.txt,JBM Tent Rentals,JBM Tent Rentals,,impression,2026-04-13,2026-09-30,D - B,70000.0,420000.0,2.5
mcp-Google_Drive-read_file_content-1790081135469.txt,JBM Tent Rentals,JBM Tent Rentals,,impression,2026-04-13,2026-09-30,D - K,70000.0,420000.0,2.5
mcp-Google_Drive-read_file_content-1790081135469.txt,KVS Computers,KVS Computers,,impression,2026-09-01,2026-02-28,SM - B,44235.0,265410.0,3.0
mcp-Google_Drive-read_file_content-1790081135469.txt,KVS Computers,KVS Computers,,impression,2026-09-01,2026-02-28,SM - AI,44000.0,264000.0,3.0
mcp-Google_Drive-read_file_content-1790081135469.txt,KVS Computers,KVS Computers,,event,2026-09-01,2026-02-28,Performance Max - Search Terms,2500.0,15000.0,3750.0
mcp-Google_Drive-read_file_content-1790081135469.txt,Lewisburg Liquidators,Lewisburg Liquidators,,impression,2026-06-02,2026-08-31,MC - Geo-Retargeting,30000.0,90000.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,Lewisburg Liquidators,Lewisburg Liquidators,,impression,2026-06-02,2026-08-31,MC - Geo-Fencing,30000.0,90000.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,Lewisburg Liquidators,Lewisburg Liquidators,,impression,2026-06-02,2026-08-31,MC - Category,30000.0,90000.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,Lewisburg Liquidators,Lewisburg Liquidators,,impression,2026-06-02,2026-08-31,MC - Retargeting,10000.0,30000.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,Little Mexico Campground,Little Mexico Campground,,event,2026-06-18,2026-09-30,Performance Max - Search Terms,2000.0,8000.0,2000.0
mcp-Google_Drive-read_file_content-1790081135469.txt,Meck-Tech Inc,Meck-Tech Inc,,event,2026-06-23,2026-12-31,Performance Max - Search Terms,1500.0,9000.0,2250.0
mcp-Google_Drive-read_file_content-1790081135469.txt,Orontes Yogurt,Orontes Yogurt,,impression,2026-09-03,2026-11-30,MC - Geo-Retargeting,30000.0,90000.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,Patton Collision Center PMAX,Patton Collision Center PMAX,,event,2026-08-01,2026-10-31,Performance Max - Search Theme,1500.0,4500.0,1125.0
mcp-Google_Drive-read_file_content-1790081135469.txt,Patton Logistics,Patton Logistics,,event,2026-06-23,2026-07-31,Performance Max - Search Terms,6000.0,6000.0,1500.0
